"","one","Two","Three","Four","Five","Six","Seven","Eight","Nine","Ten","Eleven","Twelve","Thirteen","Fourteen","Fifteen","Sixteen","Seventeen","Eighteen","Nineteen","Twenty","Twenty.one","twenty.two","Twenty.three"
"64",4,5,4,5,5,5,4,4,4,4,5,3,4,5,4,5,4,5,5,4,4,4,5
"65",5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5
"66",5,5,5,5,3,5,5,3,2,5,5,5,5,5,3,5,5,5,5,5,5,5,5
"67",5,4,4,4,4,5,4,5,4,5,5,4,3,4,4,4,4,3,4,4,4,4,5
"68",5,4,4,4,4,4,5,5,4,5,5,4,4,5,3,4,4,4,4,4,5,5,4
"69",4,5,5,5,4,4,3,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,4
"70",5,5,5,4,4,4,3,5,5,5,5,4,5,4,5,5,3,5,5,5,5,5,4
"71",5,5,5,5,5,5,3,3,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5
"72",4,5,4,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,5,4
"73",5,5,5,5,5,5,4,5,2,5,5,5,4,5,2,5,5,5,5,5,5,5,5
"74",4,5,4,5,4,5,4,4,4,4,4,2,2,4,3,4,4,4,4,4,3,4,4
"75",5,4,5,4,4,5,4,5,2,5,5,2,4,4,3,4,4,4,4,5,3,4,4
"76",5,4,5,4,4,5,4,5,5,4,4,2,4,5,5,5,4,4,4,5,4,4,4
"77",3,4,5,4,4,5,4,5,5,5,4,4,5,5,4,5,4,5,5,5,4,5,4
"78",5,4,5,5,4,5,4,4,3,5,5,5,4,4,5,5,4,5,5,4,4,4,5
"79",5,4,5,4,4,4,4,3,5,4,4,3,5,5,5,5,5,5,5,4,5,4,4
"80",4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,4,5,5,4
"81",3,2,3,3,2,3,3,3,3,4,4,4,3,5,3,4,4,4,4,4,4,5,5
"82",4,4,3,4,3,2,3,3,5,3,3,2,4,3,3,4,4,4,4,4,4,3,4
"83",4,5,4,4,4,4,4,4,5,4,4,2,3,4,4,4,3,4,3,4,4,4,4
"84",4,4,4,4,4,4,4,4,5,4,3,3,4,4,3,4,3,4,3,4,4,4,4
"85",3,4,4,4,3,3,4,4,5,4,4,3,4,4,3,4,4,4,4,4,4,4,5
"86",3,4,5,4,5,4,3,4,5,4,3,3,4,4,4,5,4,5,3,4,3,4,4
"87",4,3,5,4,4,3,4,3,4,4,4,4,3,4,4,5,4,4,5,4,3,5,3
"88",5,4,4,4,4,2,2,4,5,5,4,2,4,4,2,4,4,4,4,4,4,4,4
"89",5,5,5,5,4,2,3,4,5,5,5,2,4,4,4,4,4,4,4,4,4,4,4
"90",5,5,5,4,5,3,2,5,5,5,1,4,4,5,3,4,5,5,5,5,5,4,4
"91",5,4,4,5,4,4,4,4,5,5,4,3,4,4,3,5,5,4,4,5,4,4,4
"92",4,5,4,5,4,3,3,4,5,5,5,5,4,4,4,5,5,4,4,5,4,4,4
"93",5,4,4,4,5,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
"94",5,5,4,5,3,3,2,2,3,4,3,3,3,4,4,5,5,4,5,3,3,5,4
"95",5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"96",5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
"97",5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
"98",5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
"99",5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"100",4,4,4,5,5,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4
"101",4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4
"102",4,5,4,5,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4
"103",5,4,5,4,4,4,3,4,2,4,4,1,4,5,4,4,4,5,5,4,4,4,4
