"","one","Two","Three","Four","Five","Six","Seven","Eight","Nine","Ten","Eleven","Twelve","Thirteen","Fourteen","Fifteen","Sixteen","Seventeen","Eighteen","Nineteen","Twenty","Twenty.one","twenty.two","Twenty.three"
"270",4,4,4,5,4,5,3,4,3,5,4,4,4,4,4,4,4,4,5,5,5,5,5
"271",5,5,5,5,5,5,5,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5
"272",4,4,4,4,4,4,4,4,5,4,4,4,4,3,3,4,4,4,4,4,4,4,4
"273",5,4,4,4,4,5,4,5,5,4,5,5,4,4,4,5,4,5,4,4,4,4,4
"274",4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"275",4,5,4,5,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,4,3,4
"276",4,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4
"277",5,5,5,5,4,4,2,4,5,4,4,4,4,4,4,4,4,4,5,4,5,5,4
"278",5,5,5,5,4,4,4,4,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5
"279",5,5,5,5,4,4,5,5,5,5,5,4,4,5,4,5,5,5,5,5,5,4,5
"280",5,4,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
"281",5,5,4,5,5,4,5,5,5,5,4,5,5,4,4,4,5,5,5,5,5,5,5
"282",4,5,4,5,5,5,5,3,4,4,5,5,5,4,4,4,5,4,4,5,5,5,5
"283",5,5,5,5,3,4,5,2,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5
"284",5,4,5,5,5,5,4,3,5,4,5,5,5,5,4,4,4,4,4,5,5,5,5
"285",5,5,4,4,5,4,5,4,5,4,5,4,5,4,4,4,5,4,4,4,4,5,5
"286",4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5
"287",5,4,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5
"288",5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,4,4,4,5,5,5,5
"289",4,4,4,3,5,5,4,4,4,3,4,4,4,4,4,4,3,3,5,5,5,5,5
"290",5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,4,4,5,5,5,5
"291",5,5,4,5,4,5,3,2,4,4,5,5,5,5,4,4,4,4,4,5,5,5,5
"292",4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5
"293",5,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,5,5,4,4,5,5
"294",5,5,5,4,5,5,4,4,5,4,4,4,5,5,4,5,5,5,5,5,4,5,5
"295",5,5,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,5,5,5,5,5
"296",5,5,5,5,4,5,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5
"297",4,4,5,4,5,4,4,4,5,5,5,5,5,4,5,4,5,5,5,5,4,5,5
"298",5,4,5,5,4,4,5,4,5,4,4,4,5,4,5,5,5,4,4,5,5,4,5
"299",4,4,5,4,5,4,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5
"300",4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,4,5
"301",5,4,4,4,5,4,5,4,5,4,4,4,5,5,5,5,4,5,4,4,5,5,5
"302",5,4,4,4,5,3,4,4,5,4,4,5,5,4,5,4,5,5,5,5,5,5,5
"303",5,4,4,5,3,2,3,5,2,4,4,3,5,4,4,5,5,5,5,5,5,5,4
"304",5,5,5,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4
"305",5,5,5,5,4,4,4,4,1,5,4,4,5,5,5,5,5,5,5,5,5,5,5
"306",5,5,5,5,4,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4
"307",5,5,5,5,5,4,4,2,5,4,4,4,3,5,3,4,4,5,5,4,4,4,4
"308",1,1,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1
"309",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"310",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"311",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"312",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"313",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"314",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"315",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"316",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"317",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"318",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"319",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"320",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"321",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"322",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"323",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"324",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"325",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"326",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"327",5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"328",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"329",5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"330",5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"331",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"332",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"333",5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"334",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"335",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"336",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"337",5,4,5,4,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5
"338",5,5,5,5,4,5,4,5,5,4,4,4,4,4,4,5,5,4,4,5,5,5,5
"339",4,5,5,5,5,5,4,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5
"340",5,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,5,4,5,5,5,4,4
"341",5,5,5,5,5,5,4,4,5,4,4,4,4,4,5,5,5,5,4,4,5,5,5
"342",5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,4
"343",4,5,5,5,4,4,5,4,5,3,4,5,4,5,4,4,4,4,4,5,5,5,5
"344",4,4,5,5,4,4,5,4,5,4,4,4,5,4,5,4,4,4,4,5,4,5,5
"345",5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"346",5,5,4,5,4,5,5,4,5,4,4,4,5,4,4,4,4,4,3,4,4,5,5
"347",5,4,4,5,4,3,4,4,5,4,4,5,4,5,5,5,5,5,4,4,4,3,4
"348",5,5,4,5,4,4,4,4,5,3,4,4,5,4,5,5,5,5,5,5,5,5,5
"349",5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5
"350",5,4,4,4,5,5,4,5,5,5,5,4,4,5,5,5,5,4,5,5,4,4,4
"351",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"352",5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
"353",5,4,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5
"354",5,5,4,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5
"355",5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4
"356",5,4,5,4,5,5,4,5,5,4,4,4,5,5,5,4,4,4,4,5,5,5,5
"357",5,4,5,5,5,4,4,5,5,4,4,4,5,4,5,4,3,4,4,4,4,4,5
"358",5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
"359",5,4,5,5,5,4,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5
"360",5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
"361",5,4,5,5,5,4,4,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5
"362",5,5,4,5,4,4,4,4,5,4,4,4,4,4,4,4,3,3,4,4,4,4,5
"363",4,5,5,5,4,3,4,4,5,4,4,4,4,3,4,4,4,4,4,4,4,5,5
"364",4,4,5,5,3,4,4,4,5,4,5,4,3,4,4,4,4,4,4,4,4,4,5
"365",5,5,4,5,4,5,5,4,5,5,5,4,4,5,4,4,4,4,4,4,5,4,5
"366",5,5,5,5,4,4,5,5,3,5,5,5,3,5,5,4,4,5,5,5,5,4,4
"367",4,4,3,4,5,3,4,4,5,4,3,4,4,4,5,4,5,4,5,4,4,4,5
"368",5,5,5,4,4,4,3,4,5,4,4,4,4,3,3,4,4,4,4,4,3,4,4
"369",4,4,5,5,4,5,4,5,5,4,4,4,4,4,4,5,5,5,5,4,4,4,5
"370",4,4,4,5,3,4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,4,5,5
"371",4,5,4,4,3,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,5,5,4
"372",5,4,5,5,4,5,3,4,4,3,3,3,4,5,5,5,5,5,5,3,3,3,4
"373",5,5,4,5,4,5,4,5,5,5,4,5,4,5,4,5,4,3,3,4,4,4,4
"374",4,5,5,5,4,5,4,5,5,5,5,5,5,5,4,4,5,4,5,4,4,4,4
"375",5,4,5,4,4,5,4,4,5,4,4,4,4,4,4,5,3,4,4,5,4,4,4
"376",5,4,5,5,4,4,5,5,5,5,4,4,4,4,4,5,5,5,5,4,5,5,5
"377",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
"378",5,5,5,5,5,4,4,4,3,4,4,4,4,5,3,4,4,4,5,4,4,4,4
"379",4,5,5,4,5,4,5,5,3,5,5,5,5,5,4,4,5,5,5,5,5,5,5
"380",5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5
"381",4,5,5,4,4,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,4
"382",5,4,4,5,5,5,4,4,5,5,5,4,4,5,5,5,4,5,5,5,5,4,5
"383",5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5
"384",5,5,4,4,5,5,4,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,4
"385",5,5,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,5,5,5,5,4,5
"386",5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,3,3,4,5,5,4,5
"387",5,5,4,5,5,5,5,4,5,4,4,5,5,5,4,5,5,5,5,5,5,5,4
"388",5,5,4,4,4,4,3,4,4,4,5,5,5,5,5,4,5,5,5,5,4,4,5
"389",5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"390",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"391",5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"392",5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"393",5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"394",5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"395",5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"396",5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"397",5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"398",5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"399",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"400",5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"401",4,5,4,5,4,4,3,4,3,4,3,3,3,4,4,4,4,4,3,4,4,3,4
"402",5,5,4,4,5,4,5,4,5,4,4,4,4,5,4,5,5,5,5,5,4,5,4
